phase_group,intensity,n,total_TCP_1e6m3,mean_event_TCP_1e6m3
1-2,All,41,863942.1,21071.8
1-2,Weak TC,15,367379.9,24492.0
1-2,Moderate TC,20,446451.9,22322.6
1-2,Super TC,6,50110.2,8351.7
3-4,All,44,957987.6,21772.4
3-4,Weak TC,15,225811.4,15054.1
3-4,Moderate TC,15,268869.7,17924.6
3-4,Super TC,14,463306.5,33093.3
5-6,All,118,2738414.7,23206.9
5-6,Weak TC,36,638787.9,17744.1
5-6,Moderate TC,52,1147842.2,22073.9
5-6,Super TC,30,951784.7,31726.2
7-8,All,55,1358143.3,24693.5
7-8,Weak TC,18,402068.1,22337.1
7-8,Moderate TC,25,620113.1,24804.5
7-8,Super TC,12,335962.1,27996.8
