year,chinese_code,name,landfall_time,month,in_jjaso,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,landfall_region,landfall_region2,max_wind,lmi_category,genesis_time,genesis_lat,genesis_lon,formation_region,track_length_km,pre_landfall_track_km,ocean_residence_days,phase_landfall,amp_landfall,group_landfall,active_landfall,phase_genesis,amp_genesis,group_genesis,active_genesis,tcp_total,tcp_depth,affected_area,n_days,coastal_total,coastal_depth,coastal_area,inland_total,inland_depth,inland_area
1960,6001,Mary,1960-06-08 18:00:00,6,True,22.148899595115317,113.88667469633648,35.0,970.0,2,South China,South China,45.0,2,1960-06-02 06:00:00,17.8,115.4,South China Sea,8699.863320520071,1635.8047965944531,6.5,1.0,1.1084788868941629,1-2,True,7.0,1.555902604545494,7-8,True,54959.64193255668,68.28921087000987,804807.1025036982,16,46061.60932385131,99.36805358181991,463545.4521198211,8898.032608705373,26.07393065905937,341261.6503838771
1960,6005,Polly,1960-07-28 12:00:00,7,True,36.761675015030455,121.40627058116216,30.0,983.0,1,North China,East/North China,70.0,3,1960-07-17 00:00:00,16.5,129.2,Western Tropical WNP,5935.058686894899,2795.1118787106966,11.5,7.0,0.0750709430878032,7-8,False,2.0,2.1258718736043867,1-2,True,31375.691064541308,21.159598479413244,1482811.2686102046,16,21172.02788580738,24.548924124746136,862442.1900618149,10203.663178733928,16.447730119962813,620369.0785483898
1960,6007,Shirley,1960-07-31 18:00:00,7,True,24.672577481655946,121.8306525428028,50.0,950.0,2,East China,East/North China,70.0,3,1960-07-27 18:00:00,12.7,134.0,Western Tropical WNP,3857.873797788952,1931.6777879432088,4.0,5.0,1.1848257805741471,5-6,True,6.0,0.419458159575145,5-6,False,41410.12543691352,39.36396659944408,1051980.5043605117,11,33233.21611146248,57.734973411868665,575616.7215040352,8176.909325451044,17.165262389216235,476363.7828564765
1960,6008,Trix,1960-08-09 06:00:00,8,True,23.901145725157328,117.48968847358404,20.0,985.0,1,South China,South China,65.0,3,1960-08-02 06:00:00,10.6,137.8,Western Tropical WNP,4625.853481611987,3129.9021906791722,7.0,6.0,0.7899934845552569,5-6,False,5.0,1.74852031185504,5-6,True,63037.962696173694,65.45251094458317,963109.9217804829,13,47961.15262018911,82.90787820948968,578487.2759498439,15076.81007598459,39.19896615401936,384622.6458306389
1960,6012,Agnes,1960-08-14 06:00:00,8,True,24.61133275974638,121.86799655847828,25.0,994.0,1,East China,East/North China,25.0,1,1960-08-10 00:00:00,20.0,127.7,North WNP,2548.665380606231,1620.3967155018204,4.25,6.0,0.2966138200531539,5-6,False,6.0,1.0071576591249356,5-6,True,8709.401693077585,16.30832403276076,534046.3971393885,6,6781.146320570874,20.885340571061374,324684.49808124255,1928.2553725067114,9.210154193200061,209361.899058146
1960,6014,Carmen,1960-08-23 18:00:00,8,True,45.017397169760095,131.53739267294404,15.0,980.0,0,North China,East/North China,40.0,2,1960-08-14 06:00:00,22.5,126.0,North WNP,5244.109995593266,3715.3071756828003,9.5,7.0,0.5522550325092825,7-8,False,6.0,0.2966138200531539,5-6,False,25811.043866251955,39.93823380825481,646274.0438190607,12,22832.20563153952,43.98539174950896,519086.1038948098,2978.8382347124384,23.42076014822271,127187.93992425087
1960,6016,Elaine,1960-08-23 12:00:00,8,True,23.028129073093552,121.3306323315684,25.0,990.0,1,South China,South China,40.0,2,1960-08-17 18:00:00,21.5,117.0,North WNP,2859.3074519767933,1790.0703298153207,5.75,7.0,0.5522550325092825,7-8,False,5.0,0.583897884577503,5-6,False,20445.436812257205,36.795711715873004,555647.2713486722,10,17815.29466286254,56.75149071422432,313917.6511251937,2630.1421493946705,10.880512479037984,241729.6202234785
1960,6024,Kit,1960-10-11 12:00:00,10,True,19.48909434220125,110.80788679846958,35.0,980.0,2,South China,South China,50.0,2,1960-09-29 06:00:00,10.0,142.0,Eastern Tropical WNP,4644.780789718802,3928.5393290511715,12.25,6.0,1.4531081330791389,5-6,True,5.0,1.046795544242612,5-6,True,4928.4849499974,26.956784869962686,182829.10865565037,15,4928.42779396552,26.97323197309162,182715.508430065,0.057156031878353684,0.5031330843212132,113.60022558537176
1961,6103,Alice,1961-05-19 06:00:00,5,False,22.148500442504883,113.94411120944552,35.0,980.0,2,South China,South China,40.0,2,1961-05-15 00:00:00,11.5,121.0,Western Tropical WNP,5522.665529215621,1570.9515893383016,4.25,5.0,1.1059310600479055,5-6,True,4.0,1.4067431785408795,3-4,True,35880.123864270354,47.3158612932115,758310.69927957,9,28528.091285518563,66.03170554777516,432036.2627144011,7352.032578751793,22.53327798570369,326274.43656516884
1961,6104,Betty,1961-05-26 18:00:00,5,False,23.10584688026094,121.3788306239478,35.0,970.0,2,South China,South China,50.0,2,1961-05-21 00:00:00,9.0,135.0,Western Tropical WNP,8001.4883863486675,2294.387619025867,5.75,5.0,0.9183627363420848,5-6,False,5.0,0.9082894584975502,5-6,False,6429.5257945845715,18.707985036184997,343678.1557259415,12,6274.266328008683,22.098047644583602,283928.53653506143,155.2594665758891,2.5985013574712004,59749.61919088006
1961,6109,Doris,1961-07-02 00:00:00,7,True,23.42186347521636,116.83360239358773,20.0,986.0,1,South China,South China,20.0,1,1961-06-26 06:00:00,20.0,127.5,North WNP,2823.8728513717188,2362.7107349448133,5.75,6.0,1.623568263654837,5-6,True,4.0,1.7811982165503708,3-4,True,17251.80687678554,29.730258542312523,580277.7278990874,7,14408.78573992426,47.86009708428256,301060.52051148395,2843.0211368612822,10.182112927283386,279217.20738760335
1961,6110,Elsie,1961-07-15 00:00:00,7,True,23.22073258343865,116.67743595796472,15.0,992.0,0,South China,South China,50.0,2,1961-07-06 12:00:00,9.6,146.8,Eastern Tropical WNP,4539.910541174174,3755.4254905601656,8.5,8.0,1.2733154780339913,7-8,True,6.0,0.789369435969513,5-6,False,19496.930575708277,20.13911280070739,968112.6854318748,11,9218.276005405376,36.199140090203386,254654.55760647,10278.654570302906,14.406808429854017,713458.1278254048
1961,6111,Flossie,1961-07-19 12:00:00,7,True,22.2836910541241,114.50240325927734,15.0,995.0,0,South China,South China,25.0,1,1961-07-11 18:00:00,11.5,146.0,Eastern Tropical WNP,4385.576493633762,3950.7027636352586,7.75,3.0,0.5134374295048867,3-4,False,8.0,1.7284785926196318,7-8,True,7850.996942613003,14.205691572998758,552665.5919755192,10,5520.123458438431,17.225865419497012,320455.50827249046,2330.873484174572,10.0377789241724,232210.08370302885
1961,6115,June,1961-08-07 06:00:00,8,True,23.22843481229904,121.40862607508038,30.0,985.0,1,South China,South China,50.0,2,1961-08-01 00:00:00,11.6,134.0,Western Tropical WNP,2463.6607512154924,1959.2130756600761,6.25,3.0,0.769053032098975,3-4,False,3.0,0.7374474158249359,3-4,False,1841.2328314742638,6.697417990150881,274916.81632861384,8,1414.4796815060542,9.49248857036914,149010.41713353875,426.7531499682094,3.3894476587088533,125906.39919507506
1961,6120,Lorna,1961-08-25 00:00:00,8,True,22.44508159028674,120.93237761456987,45.0,970.0,2,South China,South China,65.0,3,1961-08-19 00:00:00,12.1,133.6,Western Tropical WNP,3239.5695721514217,1995.1415108198044,6.0,6.0,0.91422726109119,5-6,False,5.0,0.9499040591764012,5-6,False,51675.96960810857,46.71758356574733,1106135.3277269388,10,22402.373433607252,55.189753696006306,405915.44504806073,29273.59617450132,41.80629099320539,700219.8826788781
