chinese_code,ib_sid,match_km,cma_lmi,ib_wind_kt,ib_wind_ms,group_landfall,landfall_region,active_landfall,ib_category,lmi_category
6005,1960199N17129,170.05236140622839,70.0,115.0,59.16124783932834,7-8,North China,False,3,3
6115,1961213N12134,43.55483556883316,50.0,95.0,48.87233517161906,3-4,South China,False,2,2
6208,1962211N09153,153.92307012042048,75.0,145.0,74.59461684089226,3-4,East China,False,3,3
6214,1962241N14150,86.07316934013113,65.0,140.0,72.02238867396494,3-4,South China,False,3,3
6216,1962261N15121,149.73723819839387,35.0,70.0,36.01119433698247,3-4,South China,False,2,2
6217,1962268N12144,282.2516941323384,50.0,100.0,51.44456333854638,7-8,South China,True,3,2
6306,1963190N15149,0.7762880519713126,70.0,135.0,69.45016050703762,7-8,South China,False,3,3
6309,1963219N09146,0.7762877729094548,65.0,125.0,64.30570417318297,5-6,South China,False,3,3
6410,1964209N17150,53.04151187723151,75.0,130.0,66.87793234011029,3-4,North China,True,3,3
6411,1964215N07150,253.69829231243904,85.0,135.0,69.45016050703762,3-4,South China,True,3,3
6415,1964245N20132,125.42615095503027,45.0,120.0,61.73347600625566,1-2,South China,True,3,2
6416,1964247N09159,153.73579826965957,100.0,170.0,87.45575767552884,3-4,South China,True,3,3
6505,1965150N18109,138.0168232965274,35.0,80.0,41.155650670837105,5-6,South China,True,2,2
6508,1965187N08144,241.84287726878446,75.0,140.0,72.02238867396494,5-6,South China,True,3,3
6509,1965194N06156,121.94492431041073,25.0,60.0,30.86673800312783,7-8,South China,True,1,1
6714,1967235N18144,12.401285862891836,35.0,125.0,64.30570417318297,5-6,East China,True,3,2
7113,1971190N09141,109.65839158624485,55.0,85.0,43.72787883776442,7-8,South China,False,2,3
7115,1971200N11144,119.60656468027096,70.0,150.0,77.16684500781957,7-8,East China,True,3,3
7123,1971258N20158,10.673475753522382,65.0,140.0,72.02238867396494,3-4,East China,True,3,3
7202,1972174N11137,32.7870879099024,40.0,80.0,41.155650670837105,3-4,South China,True,2,2
7203,1972187N09150,0.38814314612972184,65.0,145.0,74.59461684089226,5-6,North China,True,3,3
7204,1972187N11126,195.1908220608049,45.0,65.0,33.438966170055146,5-6,East China,True,2,2
7209,1972221N11151,163.47354222109476,60.0,135.0,69.45016050703762,3-4,East China,False,3,3
7303,1973192N10129,43.53102914657483,65.0,130.0,66.87793234011029,7-8,North China,True,3,3
7315,1973274N10136,43.76063255313238,70.0,160.0,82.31130134167421,5-6,East China,False,3,3
7318,1973284N12144,152.49752769182334,40.0,90.0,46.300107004691746,1-2,South China,True,2,2
7405,1974157N18112,189.86373687640224,25.0,30.0,15.433369001563914,5-6,South China,True,0,1
7412,1974219N16117,21.85333571038065,25.0,35.0,18.005597168491235,5-6,East China,False,1,1
7419,1974246N22117,144.6907266141719,25.0,40.0,20.577825335418552,1-2,South China,True,1,1
7420,1974262N16146,53.71587994975337,30.0,60.0,30.86673800312783,3-4,East China,False,1,1
7421,1974280N11143,54.44054572932888,40.0,65.0,33.438966170055146,5-6,South China,True,2,2
7423,1974291N10150,2.328861121333371,50.0,90.0,46.300107004691746,7-8,South China,False,2,2
