TIME,chinese_code,name,year,max_wind,wind_category,LAT,LONG,PRES,WND,I,OWD
1960-01-28 06:00:00,0000,Ivy,1960,15.0,0,6.3,134.9,1003.0,12.0,1,
1960-01-28 12:00:00,0000,Ivy,1960,15.0,0,6.4,134.0,1002.0,12.0,1,
1960-01-28 18:00:00,0000,Ivy,1960,15.0,0,6.5,133.1,1002.0,12.0,1,
1960-01-29 00:00:00,0000,Ivy,1960,15.0,0,6.5,132.3,1002.0,12.0,1,
1960-01-29 06:00:00,0000,Ivy,1960,15.0,0,6.5,131.6,1002.0,12.0,1,
1960-01-29 12:00:00,0000,Ivy,1960,15.0,0,6.8,130.8,1002.0,12.0,1,
1960-01-29 18:00:00,0000,Ivy,1960,15.0,0,7.3,130.4,1002.0,12.0,1,
1960-01-30 00:00:00,0000,Ivy,1960,15.0,0,8.0,130.3,1002.0,12.0,1,
1960-01-30 06:00:00,0000,Ivy,1960,15.0,0,8.5,130.2,1000.0,15.0,1,
1960-01-30 12:00:00,0000,Ivy,1960,15.0,0,9.0,130.0,1000.0,15.0,1,
1960-01-30 18:00:00,0000,Ivy,1960,15.0,0,9.4,129.6,1000.0,15.0,1,
1960-01-31 00:00:00,0000,Ivy,1960,15.0,0,9.7,129.2,1000.0,15.0,1,
1960-01-31 06:00:00,0000,Ivy,1960,15.0,0,9.9,128.5,1000.0,15.0,1,
1960-01-31 12:00:00,0000,Ivy,1960,15.0,0,10.2,127.8,1000.0,15.0,1,
1960-01-31 18:00:00,0000,Ivy,1960,15.0,0,10.8,127.6,1000.0,15.0,1,
1960-02-01 00:00:00,0000,Ivy,1960,15.0,0,11.3,127.8,1000.0,15.0,1,
1960-02-01 06:00:00,0000,Ivy,1960,15.0,0,11.5,128.4,1000.0,15.0,1,
1960-02-01 12:00:00,0000,Ivy,1960,15.0,0,11.8,129.2,1000.0,15.0,1,
1960-02-01 18:00:00,0000,Ivy,1960,15.0,0,11.9,130.1,1000.0,15.0,1,
1960-02-02 00:00:00,0000,Ivy,1960,15.0,0,12.1,131.0,1002.0,15.0,1,
1960-02-02 06:00:00,0000,Ivy,1960,15.0,0,12.7,132.2,1002.0,15.0,1,
1960-02-02 12:00:00,0000,Ivy,1960,15.0,0,13.5,133.8,1002.0,15.0,1,
1960-02-02 18:00:00,0000,Ivy,1960,15.0,0,14.0,136.6,1004.0,12.0,1,
1960-02-03 00:00:00,0000,Ivy,1960,15.0,0,14.0,140.0,1006.0,12.0,1,
1960-02-03 06:00:00,0000,Ivy,1960,15.0,0,14.7,143.7,1008.0,,0,
1960-02-03 12:00:00,0000,Ivy,1960,15.0,0,16.0,147.2,1010.0,,0,
1960-06-01 18:00:00,6002,Nadine,1960,35.0,2,12.0,136.5,1004.0,,0,
1960-06-02 00:00:00,6002,Nadine,1960,35.0,2,12.0,135.0,1004.0,,0,
1960-06-02 06:00:00,6002,Nadine,1960,35.0,2,12.0,134.0,1004.0,,0,
1960-06-02 12:00:00,6002,Nadine,1960,35.0,2,12.1,133.0,1004.0,,0,
1960-06-02 18:00:00,6002,Nadine,1960,35.0,2,12.3,131.9,1004.0,,0,
1960-06-03 00:00:00,6002,Nadine,1960,35.0,2,12.9,130.9,1004.0,,0,
1960-06-03 06:00:00,6002,Nadine,1960,35.0,2,13.8,129.8,1000.0,15.0,1,
1960-06-03 12:00:00,6002,Nadine,1960,35.0,2,15.0,129.0,1000.0,15.0,1,
1960-06-03 18:00:00,6002,Nadine,1960,35.0,2,15.7,128.6,1000.0,15.0,1,
1960-06-04 00:00:00,6002,Nadine,1960,35.0,2,16.5,128.4,1000.0,15.0,1,
1960-06-04 06:00:00,6002,Nadine,1960,35.0,2,17.1,128.3,1000.0,20.0,2,
1960-06-04 12:00:00,6002,Nadine,1960,35.0,2,17.6,128.3,995.0,20.0,2,
1960-06-04 18:00:00,6002,Nadine,1960,35.0,2,18.0,128.3,995.0,20.0,2,
1960-06-05 00:00:00,6002,Nadine,1960,35.0,2,18.3,128.3,990.0,25.0,3,
1960-06-05 06:00:00,6002,Nadine,1960,35.0,2,19.0,128.5,985.0,35.0,4,
1960-06-05 12:00:00,6002,Nadine,1960,35.0,2,19.8,128.8,985.0,35.0,4,
1960-06-05 18:00:00,6002,Nadine,1960,35.0,2,20.5,129.1,985.0,35.0,4,
1960-06-06 00:00:00,6002,Nadine,1960,35.0,2,21.4,129.4,985.0,35.0,4,
1960-06-06 06:00:00,6002,Nadine,1960,35.0,2,22.1,129.6,985.0,35.0,4,
1960-06-06 12:00:00,6002,Nadine,1960,35.0,2,22.5,129.8,985.0,35.0,4,
1960-06-06 18:00:00,6002,Nadine,1960,35.0,2,23.0,130.1,985.0,35.0,4,
1960-06-07 00:00:00,6002,Nadine,1960,35.0,2,23.6,130.6,985.0,35.0,4,
1960-06-07 06:00:00,6002,Nadine,1960,35.0,2,24.0,131.0,985.0,35.0,4,
1960-06-07 12:00:00,6002,Nadine,1960,35.0,2,24.5,131.3,985.0,35.0,4,
1960-06-07 18:00:00,6002,Nadine,1960,35.0,2,25.0,131.8,985.0,35.0,4,
1960-06-08 00:00:00,6002,Nadine,1960,35.0,2,25.8,132.5,985.0,35.0,4,
1960-06-08 06:00:00,6002,Nadine,1960,35.0,2,26.5,133.4,985.0,35.0,4,
1960-06-08 12:00:00,6002,Nadine,1960,35.0,2,27.4,134.3,985.0,35.0,4,
1960-06-08 18:00:00,6002,Nadine,1960,35.0,2,28.4,135.5,990.0,30.0,3,
1960-06-09 00:00:00,6002,Nadine,1960,35.0,2,29.4,137.0,990.0,30.0,3,
1960-06-09 06:00:00,6002,Nadine,1960,35.0,2,30.2,138.7,990.0,25.0,3,
1960-06-09 12:00:00,6002,Nadine,1960,35.0,2,30.8,140.3,990.0,25.0,3,
1960-06-09 18:00:00,6002,Nadine,1960,35.0,2,31.8,143.2,990.0,25.0,3,
1960-06-10 00:00:00,6002,Nadine,1960,35.0,2,32.9,146.3,990.0,25.0,3,
1960-06-10 06:00:00,6002,Nadine,1960,35.0,2,34.0,149.5,990.0,25.0,3,
1960-06-10 12:00:00,6002,Nadine,1960,35.0,2,35.0,153.0,990.0,25.0,3,
1960-06-10 18:00:00,6002,Nadine,1960,35.0,2,36.1,156.2,990.0,20.0,2,
1960-06-11 00:00:00,6002,Nadine,1960,35.0,2,36.7,158.9,990.0,20.0,2,
1960-06-11 06:00:00,6002,Nadine,1960,35.0,2,37.0,162.0,990.0,20.0,9,
1960-06-11 12:00:00,6002,Nadine,1960,35.0,2,37.3,166.4,990.0,20.0,9,
1960-06-11 18:00:00,6002,Nadine,1960,35.0,2,37.7,169.8,992.0,20.0,9,
1960-06-12 00:00:00,6002,Nadine,1960,35.0,2,39.3,174.9,992.0,20.0,9,
1960-06-02 06:00:00,6001,Mary,1960,45.0,2,17.8,115.4,1002.0,9.5,0,
1960-06-02 12:00:00,6001,Mary,1960,45.0,2,17.4,116.5,1002.0,12.0,1,
1960-06-02 18:00:00,6001,Mary,1960,45.0,2,16.4,116.9,1000.0,15.0,1,
1960-06-03 00:00:00,6001,Mary,1960,45.0,2,15.6,116.7,1000.0,15.0,1,
1960-06-03 06:00:00,6001,Mary,1960,45.0,2,15.3,116.0,999.0,20.0,2,
1960-06-03 12:00:00,6001,Mary,1960,45.0,2,15.4,115.3,996.0,20.0,2,
1960-06-03 18:00:00,6001,Mary,1960,45.0,2,15.5,114.6,994.0,25.0,3,
1960-06-04 00:00:00,6001,Mary,1960,45.0,2,15.6,113.6,990.0,30.0,3,
1960-06-04 06:00:00,6001,Mary,1960,45.0,2,15.8,113.0,990.0,30.0,3,
1960-06-04 12:00:00,6001,Mary,1960,45.0,2,15.9,112.3,985.0,35.0,4,
1960-06-04 18:00:00,6001,Mary,1960,45.0,2,16.1,111.9,980.0,40.0,4,
1960-06-05 00:00:00,6001,Mary,1960,45.0,2,16.3,111.7,980.0,40.0,4,
1960-06-05 06:00:00,6001,Mary,1960,45.0,2,16.6,111.6,970.0,45.0,5,
1960-06-05 12:00:00,6001,Mary,1960,45.0,2,16.9,111.7,970.0,45.0,5,
1960-06-05 18:00:00,6001,Mary,1960,45.0,2,17.0,111.9,970.0,45.0,5,
1960-06-06 00:00:00,6001,Mary,1960,45.0,2,17.3,112.3,970.0,45.0,5,
1960-06-06 06:00:00,6001,Mary,1960,45.0,2,17.7,112.6,970.0,45.0,5,
1960-06-06 12:00:00,6001,Mary,1960,45.0,2,18.0,112.9,970.0,45.0,5,
1960-06-06 18:00:00,6001,Mary,1960,45.0,2,18.5,113.2,970.0,45.0,5,
1960-06-07 00:00:00,6001,Mary,1960,45.0,2,19.0,113.3,970.0,45.0,5,
1960-06-07 06:00:00,6001,Mary,1960,45.0,2,19.5,113.3,970.0,40.0,4,
1960-06-07 12:00:00,6001,Mary,1960,45.0,2,20.0,113.3,970.0,40.0,4,
1960-06-07 18:00:00,6001,Mary,1960,45.0,2,20.5,113.3,970.0,40.0,4,
1960-06-08 00:00:00,6001,Mary,1960,45.0,2,21.0,113.3,970.0,40.0,4,
1960-06-08 06:00:00,6001,Mary,1960,45.0,2,21.5,113.4,970.0,40.0,4,
1960-06-08 12:00:00,6001,Mary,1960,45.0,2,21.9,113.7,970.0,35.0,4,
1960-06-08 18:00:00,6001,Mary,1960,45.0,2,22.3,114.0,970.0,35.0,4,
1960-06-09 00:00:00,6001,Mary,1960,45.0,2,22.8,114.5,976.0,35.0,4,
1960-06-09 06:00:00,6001,Mary,1960,45.0,2,23.5,115.0,982.0,25.0,3,35.0
1960-06-09 12:00:00,6001,Mary,1960,45.0,2,24.2,115.6,988.0,12.0,1,35.0
1960-06-09 18:00:00,6001,Mary,1960,45.0,2,25.5,117.5,988.0,10.0,0,25.0
1960-06-10 00:00:00,6001,Mary,1960,45.0,2,26.4,119.3,988.0,25.0,3,
1960-06-10 06:00:00,6001,Mary,1960,45.0,2,27.7,121.3,984.0,25.0,3,
1960-06-10 12:00:00,6001,Mary,1960,45.0,2,29.0,123.5,984.0,30.0,3,
1960-06-10 18:00:00,6001,Mary,1960,45.0,2,29.9,127.0,980.0,30.0,3,
1960-06-11 00:00:00,6001,Mary,1960,45.0,2,29.9,130.0,980.0,30.0,3,
1960-06-11 06:00:00,6001,Mary,1960,45.0,2,29.9,131.5,980.0,30.0,3,
1960-06-11 12:00:00,6001,Mary,1960,45.0,2,29.6,133.5,986.0,25.0,3,
1960-06-11 18:00:00,6001,Mary,1960,45.0,2,29.3,135.0,988.0,25.0,3,
1960-06-12 00:00:00,6001,Mary,1960,45.0,2,29.0,136.0,994.0,20.0,9,
1960-06-12 06:00:00,6001,Mary,1960,45.0,2,28.0,138.0,1000.0,20.0,9,
1960-06-12 12:00:00,6001,Mary,1960,45.0,2,27.1,139.3,1002.0,20.0,9,
1960-06-12 18:00:00,6001,Mary,1960,45.0,2,26.6,140.4,1004.0,15.0,9,
1960-06-13 00:00:00,6001,Mary,1960,45.0,2,26.1,141.7,1008.0,15.0,9,
1960-06-13 06:00:00,6001,Mary,1960,45.0,2,26.3,142.7,1008.0,15.0,9,
1960-06-13 12:00:00,6001,Mary,1960,45.0,2,26.6,143.5,1008.0,15.0,9,
1960-06-13 18:00:00,6001,Mary,1960,45.0,2,27.0,144.2,1008.0,15.0,9,
1960-06-14 00:00:00,6001,Mary,1960,45.0,2,27.5,144.8,1010.0,12.0,9,
1960-06-14 06:00:00,6001,Mary,1960,45.0,2,28.1,145.1,1010.0,12.0,9,
1960-06-14 12:00:00,6001,Mary,1960,45.0,2,28.7,145.5,1010.0,12.0,9,
1960-06-14 18:00:00,6001,Mary,1960,45.0,2,29.3,146.1,1010.0,12.0,9,
1960-06-15 00:00:00,6001,Mary,1960,45.0,2,30.4,147.5,1012.0,12.0,9,
1960-06-15 06:00:00,6001,Mary,1960,45.0,2,32.3,149.5,1012.0,12.0,9,
1960-06-15 12:00:00,6001,Mary,1960,45.0,2,34.4,152.9,1012.0,12.0,9,
1960-06-15 18:00:00,6001,Mary,1960,45.0,2,35.7,157.0,1010.0,12.0,9,
1960-06-16 00:00:00,6001,Mary,1960,45.0,2,37.0,161.0,1010.0,12.0,9,
1960-06-16 06:00:00,6001,Mary,1960,45.0,2,38.6,164.4,1008.0,12.0,9,
1960-06-16 12:00:00,6001,Mary,1960,45.0,2,40.5,167.5,1002.0,12.0,9,
1960-06-16 18:00:00,6001,Mary,1960,45.0,2,43.0,170.0,1002.0,12.0,9,
1960-06-17 00:00:00,6001,Mary,1960,45.0,2,44.0,173.0,996.0,,9,
1960-06-17 06:00:00,6001,Mary,1960,45.0,2,44.0,175.0,998.0,,9,
1960-06-17 12:00:00,6001,Mary,1960,45.0,2,44.0,177.0,1000.0,,9,
1960-06-17 18:00:00,6001,Mary,1960,45.0,2,44.2,178.0,1000.0,,9,
1960-06-21 06:00:00,6003,Olive,1960,60.0,3,7.5,137.0,1004.0,,0,
1960-06-21 12:00:00,6003,Olive,1960,60.0,3,7.6,138.0,1004.0,,0,
1960-06-21 18:00:00,6003,Olive,1960,60.0,3,8.0,138.5,1004.0,,0,
1960-06-22 00:00:00,6003,Olive,1960,60.0,3,8.5,139.0,1004.0,,0,
1960-06-22 06:00:00,6003,Olive,1960,60.0,3,9.4,139.2,1004.0,,0,
1960-06-22 12:00:00,6003,Olive,1960,60.0,3,10.0,138.4,1004.0,,0,
1960-06-22 18:00:00,6003,Olive,1960,60.0,3,10.3,137.0,1004.0,,0,
1960-06-23 00:00:00,6003,Olive,1960,60.0,3,10.5,136.0,1004.0,,0,
1960-06-23 06:00:00,6003,Olive,1960,60.0,3,10.7,135.0,1002.0,15.0,1,
1960-06-23 12:00:00,6003,Olive,1960,60.0,3,11.1,134.0,1002.0,15.0,1,
1960-06-23 18:00:00,6003,Olive,1960,60.0,3,11.4,133.0,1002.0,15.0,1,
1960-06-24 00:00:00,6003,Olive,1960,60.0,3,11.8,132.0,1002.0,15.0,1,
1960-06-24 06:00:00,6003,Olive,1960,60.0,3,12.3,131.0,1000.0,20.0,2,
1960-06-24 12:00:00,6003,Olive,1960,60.0,3,12.6,130.0,995.0,25.0,3,
1960-06-24 18:00:00,6003,Olive,1960,60.0,3,13.0,129.0,970.0,40.0,4,
