year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category
1960,6001,Mary,1960-06-08 18:00:00,22.148899595115314,113.88667469633648,35.0,970.0,2,45.0,2
1960,6005,Polly,1960-07-28 12:00:00,36.761675015030455,121.40627058116215,30.0,983.0,1,70.0,3
1960,6007,Shirley,1960-07-31 18:00:00,24.672577481655946,121.8306525428028,50.0,950.0,2,70.0,3
1960,6008,Trix,1960-08-09 06:00:00,23.901145725157328,117.48968847358404,20.0,985.0,1,65.0,3
1960,6012,Agnes,1960-08-14 06:00:00,24.61133275974638,121.86799655847827,25.0,994.0,1,25.0,1
1960,6014,Carmen,1960-08-23 18:00:00,45.017397169760095,131.53739267294404,15.0,980.0,0,40.0,2
1960,6016,Elaine,1960-08-23 12:00:00,23.028129073093552,121.3306323315684,25.0,990.0,1,40.0,2
1960,6024,Kit,1960-10-11 12:00:00,19.489094342201252,110.80788679846958,35.0,980.0,2,50.0,2
1961,6103,Alice,1961-05-19 06:00:00,22.148500442504883,113.94411120944552,35.0,980.0,2,40.0,2
1961,6104,Betty,1961-05-26 18:00:00,23.10584688026094,121.3788306239478,35.0,970.0,2,50.0,2
1961,6109,Doris,1961-07-02 00:00:00,23.421863475216362,116.83360239358773,20.0,986.0,1,20.0,1
1961,6110,Elsie,1961-07-15 00:00:00,23.22073258343865,116.67743595796473,15.0,992.0,0,50.0,2
1961,6111,Flossie,1961-07-19 12:00:00,22.2836910541241,114.50240325927734,15.0,995.0,0,25.0,1
1961,6115,June,1961-08-07 06:00:00,23.228434812299042,121.40862607508038,30.0,985.0,1,50.0,2
1961,6120,Lorna,1961-08-25 00:00:00,22.44508159028674,120.93237761456989,45.0,970.0,2,65.0,3
1961,6121,Olga,1961-09-09 18:00:00,22.75749479689292,115.04250520310708,35.0,980.0,2,35.0,2
1961,6122,Pamela,1961-09-12 06:00:00,24.693607955322722,118.72045454296729,40.0,970.0,2,85.0,3
1961,6125,Sally,1961-09-29 06:00:00,22.57071014134943,114.91420282698854,20.0,990.0,1,40.0,2
1961,6126,Tilda,1961-10-04 06:00:00,28.93126790517217,121.57394341235651,25.0,980.0,1,60.0,3
1962,6205,Kate,1962-07-22 18:00:00,22.71780396407678,121.10981699700639,30.0,970.0,1,40.0,2
1962,6208,Opal,1962-08-05 12:00:00,24.086243340123165,121.61283954921838,65.0,920.0,3,75.0,3
1962,6209,Patsy,1962-08-10 12:00:00,19.603455777653675,110.96080890919245,35.0,975.0,2,35.0,2
1962,6213,Wanda,1962-09-01 12:00:00,22.532300310959304,113.58694891164244,25.0,976.0,1,50.0,2
1962,6214,Amy,1962-09-05 06:00:00,23.727710083176003,121.55301470888399,40.0,960.0,2,65.0,3
1962,6216,Carla,1962-09-21 18:00:00,18.468968315614436,110.07814786046596,35.0,985.0,2,35.0,2
1962,6217,Dinah,1962-10-03 18:00:00,22.893623212690642,116.19429941167388,20.0,985.0,1,50.0,2
1963,6304,Trix,1963-07-01 00:00:00,23.224492621791704,116.79734778653751,30.0,985.0,1,35.0,2
1963,6306,Wendy,1963-07-16 06:00:00,23.9065760416038,121.60301250010777,35.0,960.0,2,70.0,3
1963,6307,Agnes,1963-07-22 18:00:00,21.35167571630557,110.71578356031935,20.0,989.0,1,35.0,2
1963,6317,(nameless),1963-07-31 18:00:00,18.676117295798242,110.3915425226891,15.0,998.0,0,20.0,1
1963,6309,Carmen,1963-08-16 06:00:00,19.85241885428714,110.9897471873451,40.0,970.0,2,65.0,3
1963,6311,Faye,1963-09-07 18:00:00,20.052442873532314,110.7335500573631,35.0,968.0,2,55.0,3
1963,6312,Gloria,1963-09-12 18:00:00,26.3,119.79032815922935,30.0,985.0,1,70.0,3
1964,6402,Viola,1964-05-28 00:00:00,22.006154418756914,113.25213643402394,30.0,982.0,1,35.0,2
1964,6403,Winnie,1964-07-02 06:00:00,19.28936621483336,110.63190135549992,40.0,960.0,2,45.0,2
1964,6408,Flossie,1964-07-30 00:00:00,41.665409571648496,127.04672112260607,10.0,990.0,0,40.0,2
1964,6410,Helen,1964-08-03 18:00:00,39.44769034669618,122.51743655110128,20.0,995.0,1,75.0,3
1964,6411,Ida,1964-08-08 18:00:00,22.159499438468288,113.48265072999122,30.0,972.0,1,85.0,3
1964,6412,June,1964-08-14 18:00:00,20.5,110.51509769306793,12.0,999.0,0,20.0,1
1964,6415,Ruby,1964-09-05 12:00:00,22.217023500132626,113.54644908304597,25.0,980.0,1,45.0,2
1964,6416,Sally,1964-09-10 18:00:00,22.653419400830675,114.59026517676251,15.0,988.0,0,100.0,3
1964,6423,Dot,1964-10-13 06:00:00,22.757979819720546,114.62872360358554,20.0,990.0,1,45.0,2
1965,6505,Babe,1965-06-05 06:00:00,23.54938470041458,120.14200110538955,,1002.0,0,35.0,2
1965,6506,Dinah,1965-06-18 12:00:00,22.373724918711453,120.90477728750702,40.0,983.0,2,80.0,3
1965,6508,Freda,1965-07-15 18:00:00,21.55174097356437,108.29602063185287,20.0,990.0,1,75.0,3
1965,6509,Gilda,1965-07-23 06:00:00,21.614432455897006,111.98556754410299,20.0,990.0,1,25.0,1
1965,6510,Harriet,1965-07-28 06:00:00,36.72229063472514,121.3478796271762,15.0,997.0,0,45.0,2
1965,6512,Jean,1965-08-07 18:00:00,46.63304616444147,134.0,20.0,985.0,1,65.0,3
1965,6513,Mary,1965-08-18 18:00:00,24.690555225460788,121.83148258179736,55.0,960.0,3,75.0,3
1965,6514,Nadine,1965-08-17 18:00:00,18.998046778255677,110.51757899569891,25.0,990.0,1,30.0,1
1965,6517,Rose,1965-09-05 12:00:00,21.458723359120782,111.07080860993428,15.0,992.0,0,50.0,2
1965,6521,Agnes,1965-09-27 18:00:00,21.575130575465586,111.87460827360324,15.0,995.0,0,30.0,1
1965,6522,Elaine,1965-11-13 06:00:00,20.026648151753186,110.7699861138149,9.5,1008.0,0,25.0,1
1966,6603,Judy,1966-05-30 12:00:00,22.964379710072247,120.15923405773479,25.0,988.0,1,45.0,2
1966,6605,Lola,1966-07-13 18:00:00,22.148500442504883,114.037642288208,20.0,990.0,1,30.0,1
1966,6606,Mamie,1966-07-17 18:00:00,21.829847940625445,112.65851700187349,15.0,1000.0,0,35.0,2
1966,6608,Ora,1966-07-26 12:00:00,21.4584926984468,109.44641168248512,30.0,978.0,1,45.0,2
1966,6609,Phyllis,1966-08-01 18:00:00,18.200726817243083,109.69031442225565,15.0,998.0,0,20.0,1
1966,6611,Tess,1966-08-17 00:00:00,26.35479399095353,119.90639198793804,20.0,985.0,1,45.0,2
1966,6612,Winnie,1966-08-26 06:00:00,39.60149575601853,122.83703257624421,12.0,1002.0,0,35.0,2
1966,6614,Alice,1966-09-03 12:00:00,26.4986606420827,119.7825883470751,12.0,990.0,0,60.0,3
