year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1960,6001,Mary,1960-06-08 18:00:00,22.148899595115317,113.88667469633648,35.0,970.0,2,45.0,2,1960-06-08,6,1960-06-08,-1.097345743710532,-0.1567091619864691,1.0,1.1084788868941629,South China Sea,TCs,south China
1960,6007,Shirley,1960-07-31 18:00:00,24.672577481655946,121.8306525428028,50.0,950.0,2,70.0,3,1960-07-31,7,1960-07-31,1.1835569944040565,0.0548176186127554,5.0,1.1848257805741471,South WNP,TCs,east/north China
1960,6024,Kit,1960-10-11 12:00:00,19.48909434220125,110.80788679846958,35.0,980.0,2,50.0,2,1960-10-11,10,1960-10-11,0.399086683009152,1.3972304984738533,6.0,1.4531081330791389,Open WNP,TCs,south China
1961,6109,Doris,1961-07-02 00:00:00,23.42186347521636,116.83360239358773,20.0,986.0,1,20.0,1,1961-07-02,7,1961-07-02,1.1079985251835696,1.1867237146607532,6.0,1.623568263654837,North WNP,Storms,south China
1961,6110,Elsie,1961-07-15 00:00:00,23.22073258343865,116.67743595796472,15.0,992.0,0,50.0,2,1961-07-15,7,1961-07-15,-1.2705125610378658,0.0844401494902444,8.0,1.2733154780339913,Open WNP,TCs,south China
1962,6205,Kate,1962-07-22 18:00:00,22.71780396407678,121.1098169970064,30.0,970.0,1,40.0,2,1962-07-22,7,1962-07-22,-0.4593595654814593,1.0783036597461173,7.0,1.172070813995974,South WNP,TCs,south China
1962,6217,Dinah,1962-10-03 18:00:00,22.89362321269064,116.19429941167388,20.0,985.0,1,50.0,2,1962-10-03,10,1962-10-03,-0.8691664280945522,0.904877724719841,7.0,1.2546927816883298,Open WNP,TCs,south China
1963,6304,Trix,1963-07-01 00:00:00,23.224492621791704,116.79734778653751,30.0,985.0,1,35.0,2,1963-07-01,7,1963-07-01,0.4269490130990249,1.1658960214479657,6.0,1.2416114499369062,Open WNP,TCs,south China
1963,6307,Agnes,1963-07-22 18:00:00,21.35167571630557,110.71578356031937,20.0,989.0,1,35.0,2,1963-07-22,7,1963-07-22,-0.5902948595534879,-1.2215319940301788,2.0,1.3566828788094203,Open WNP,TCs,south China
1963,6311,Faye,1963-09-07 18:00:00,20.052442873532318,110.7335500573631,35.0,968.0,2,55.0,3,1963-09-07,9,1963-09-07,0.684038894881141,0.9092979218310848,6.0,1.1378628741445702,Open WNP,TCs,south China
1963,6312,Gloria,1963-09-12 18:00:00,26.3,119.79032815922936,30.0,985.0,1,70.0,3,1963-09-12,9,1963-09-12,-0.0401796170059878,1.065072306431812,7.0,1.065829920555211,Open WNP,TCs,east/north China
1964,6410,Helen,1964-08-03 18:00:00,39.44769034669618,122.51743655110128,20.0,995.0,1,75.0,3,1964-08-03,8,1964-08-03,1.172429561061904,-0.4614379610015873,4.0,1.2599666930141888,Open WNP,TCs,east/north China
1964,6411,Ida,1964-08-08 18:00:00,22.159499438468288,113.48265072999122,30.0,972.0,1,85.0,3,1964-08-08,8,1964-08-08,1.4246948207688217,-0.0479897479525264,4.0,1.4255028404861392,Open WNP,TCs,south China
1964,6415,Ruby,1964-09-05 12:00:00,22.217023500132623,113.54644908304596,25.0,980.0,1,45.0,2,1964-09-05,9,1964-09-05,-0.8012059565940257,-1.6983099571928577,2.0,1.877814606286295,North WNP,TCs,south China
1964,6416,Sally,1964-09-10 18:00:00,22.653419400830675,114.59026517676251,15.0,988.0,0,100.0,3,1964-09-10,9,1964-09-10,0.5521220576982697,-1.3726922756319162,3.0,1.4795684675527865,Open WNP,TCs,south China
1964,6423,Dot,1964-10-13 06:00:00,22.757979819720543,114.62872360358554,20.0,990.0,1,45.0,2,1964-10-13,10,1964-10-13,-0.9379769214238014,1.0482754381599655,7.0,1.4066563543997304,Open WNP,TCs,south China
